,title,company,salary,summary
325,Program Specialist Trainee,New Jersey Department of Labor and Workforce Devel...,"$43,754 - $45,732 a year","LICENSE: Appointees will be required to possess a driver's license valid in New Jersey only if the operation of a vehicle, rather than employee."
326,"Assistant Director, Academic Programs",The Office of the Secretary of Higher Education,"$85,000 - $100,000 a year",Education: A Juris Doctor degree or a Master’s degree in either higher education administration or public administration or a related field from an accredited…
327,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
328,Human Services Assistant,Trenton Psychiatric Hospital,From $16.85 an hour,You must possess a valid driver’s license to apply for the position.Preference will be given to candidates with at least one year of experience in a healthcare…
329,Laboratory Technician,New Jersey Department of Health,"$36,748 - $51,361 a year","Under the direction of a supervisor, performs and assists with technical laboratory work in the New Jersey Department of Health Public Health and Environmental…"
330,Contact Tracer,Henry J Austin Health Center,$16 - $24 an hour,Contacts who develop symptoms should promptly isolate and they should be promptly evaluated for infection and for the need for medical care.
331,Secretary,RWJBarnabas Health,,Arranges for telephone coverage when necessary.Provides technical support to management team.Establishes best practice guidelines for department filing…
332,,FedEx Ground PH US,Up to $18 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
333,TEMPORARY COVID-19 VACCINATION CALL CENTER REP - REMOTE / WO...,NAVIENT,$16 - $17 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
334,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
335,Amazon Full-Time Warehouse Team Member,Amazon,$18.40 an hour,"Through this program you’ll be able to earn certificates and associate degrees in high-wage, in-demand occupations such as aircraft mechanics, computer-aided…"
336,Occasional Babysitting Gigs in Trenton & Union Areas! Rates...,Helpr,$20 - $25 an hour,"You can also review a family's profile before accepting a job, and add your schedule preferences if you have a full-time job or school workload."
337,Maintenance Technician - Full Time,Clover Meadows Healthcare and Rehabilitation Center,$20 - $24 an hour,"Basic mechanical, plumbing, electrical and carpentry knowledge is required.Oversee and maintain our health care facility; handling all labor and repairs in the…"
338,"Assistant Director, Academic Programs",The Office of the Secretary of Higher Education,"$85,000 - $100,000 a year",Education: A Juris Doctor degree or a Master’s degree in either higher education administration or public administration or a related field from an accredited…
339,Travel Specialist,Graceful Trips,"$2,500 - $3,821 a month","Low-cost, and discounted travel opportunities for yourself and your family.Essentially, you will be required to interact with our clients by guiding them…"
340,Customer Representative,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
341,Human Services Assistant,Trenton Psychiatric Hospital,From $16.85 an hour,You must possess a valid driver’s license to apply for the position.Preference will be given to candidates with at least one year of experience in a healthcare…
342,Package Sorter - Amazon Hiring Now,Amazon Workforce Staffing,$16.75 - $17.75 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
343,Laboratory Technician,New Jersey Department of Health,"$36,748 - $51,361 a year","Under the direction of a supervisor, performs and assists with technical laboratory work in the New Jersey Department of Health Public Health and Environmental…"
344,New Jersey State Troopers,New Jersey State Police,,"The New Jersey State Police will be accepting applications for the position of State Trooper beginning March 28, 2021."
345,Program Specialist Trainee,New Jersey Department of Labor and Workforce Devel...,"$43,754 - $45,732 a year","LICENSE: Appointees will be required to possess a driver's license valid in New Jersey only if the operation of a vehicle, rather than employee."
346,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
347,TEMPORARY COVID-19 VACCINATION CALL CENTER REP - REMOTE / WO...,NAVIENT,$16 - $17 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
348,,FedEx Ground PH US,Up to $18 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
349,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
350,Amazon Full-Time Warehouse Team Member,Amazon,$18.40 an hour,"Through this program you’ll be able to earn certificates and associate degrees in high-wage, in-demand occupations such as aircraft mechanics, computer-aided…"
351,Occasional Babysitting Gigs in Trenton & Union Areas! Rates...,Helpr,$20 - $25 an hour,"You can also review a family's profile before accepting a job, and add your schedule preferences if you have a full-time job or school workload."
352,Maintenance Technician - Full Time,Clover Meadows Healthcare and Rehabilitation Center,$20 - $24 an hour,"Basic mechanical, plumbing, electrical and carpentry knowledge is required.Oversee and maintain our health care facility; handling all labor and repairs in the…"
